2;A;9222;19;2012-06-16;3;45;37;2;119;3;119;EL ESTECO OLD VINES Malbec. Torrontes 750cc;5670.51;3;entregada;45;Avenida 2;586;2;8;3317;3317;Arequito;2183;37;37;Santa Fe;19;Sara;Vargas;46;3;541524260326;19;3;ocasionales;0.0;46;Calle 7;741;0;5;3328
2;A;9222;19;2012-06-16;3;45;52;2;144;1;144;NCORREAS RESERVA de Parcelas Malbec 750cc;2647.83;3;entregada;45;Avenida 2;586;2;8;3317;3317;Arequito;2183;37;37;Santa Fe;19;Sara;Vargas;46;3;541524260326;19;3;ocasionales;0.0;46;Calle 7;741;0;5;3328
2;A;9222;19;2012-06-16;3;45;68;2;85;3;85;BENJAMIN NIETO Malbec. Cabernet 750cc;1221.33;3;entregada;45;Avenida 2;586;2;8;3317;3317;Arequito;2183;37;37;Santa Fe;19;Sara;Vargas;46;3;541524260326;19;3;ocasionales;0.0;46;Calle 7;741;0;5;3328
2;A;9222;19;2012-06-16;3;45;72;2;29;1;29;RUTINI Chardonnay 750cc;6300.41;3;entregada;45;Avenida 2;586;2;8;3317;3317;Arequito;2183;37;37;Santa Fe;19;Sara;Vargas;46;3;541524260326;19;3;ocasionales;0.0;46;Calle 7;741;0;5;3328
3;A;9792;15;1984-07-30;1;36;2;3;141;3;141;STRUCTURA 750cc;11447.9;1;ingresada;36;Calle Catamarca;82;0;Oficina 8;3362;3362;Rio Gallegos;9400;36;36;Santa Cruz;15;Ramiro;Carrizo;42;3;541529042188;15;3;ocasionales;0.0;42;Boulevard 6;38;5;1;3311
3;A;9792;15;1984-07-30;1;36;44;3;157;1;157;ZUCCARDI SERIE A Malbec. Syrah 750cc;2764.29;1;ingresada;36;Calle Catamarca;82;0;Oficina 8;3362;3362;Rio Gallegos;9400;36;36;Santa Cruz;15;Ramiro;Carrizo;42;3;541529042188;15;3;ocasionales;0.0;42;Boulevard 6;38;5;1;3311
4;B;667;18;2013-07-08;2;38;25;4;139;1;139;LA LINTERNA Malbec La Consulta. Malbec Chañar Punco 13;65474.76;2;en preparacion;38;Blv. Santa Rosa;86;0;Of. 34;3362;3362;Rio Gallegos;9400;36;36;Santa Cruz;18;Paula;Farias;45;1;54934565982;18;1;frecuentes;20.0;45;Avenida 2;586;2;8;3317
5;B;7013;19;2024-10-15;3;31;43;5;147;1;147;PASCUAL TOSO Varietales 750cc;2229.23;3;entregada;31;Diagonal Entre Ríos;31;5;2;3329;3329;Resistencia;3501;19;19;Chaco;19;Sara;Vargas;46;3;541524260326;19;3;ocasionales;0.0;46;Calle 7;741;0;5;3328
5;B;7013;19;2024-10-15;3;31;64;5;22;2;22;SAINT FELICIEN Rose 750cc;14058.13;3;entregada;31;Diagonal Entre Ríos;31;5;2;3329;3329;Resistencia;3501;19;19;Chaco;19;Sara;Vargas;46;3;541524260326;19;3;ocasionales;0.0;46;Calle 7;741;0;5;3328
5;B;7013;19;2024-10-15;3;31;67;5;170;1;170;TOMERO Malbec 750cc;2239.29;3;entregada;31;Diagonal Entre Ríos;31;5;2;3329;3329;Resistencia;3501;19;19;Chaco;19;Sara;Vargas;46;3;541524260326;19;3;ocasionales;0.0;46;Calle 7;741;0;5;3328
5;B;7013;19;2024-10-15;3;31;92;5;178;2;178;EL ABUELO OPORTO 750CC;1117.2;3;entregada;31;Diagonal Entre Ríos;31;5;2;3329;3329;Resistencia;3501;19;19;Chaco;19;Sara;Vargas;46;3;541524260326;19;3;ocasionales;0.0;46;Calle 7;741;0;5;3328
6;B;7834;1;2000-03-23;3;45;27;6;163;1;163;CLOS DE LOS SIETE 750cc;4321.15;3;entregada;45;Avenida 2;586;2;8;3317;3317;Arequito;2183;37;37;Santa Fe;1;Morena;Juarez;28;1;541522513709;1;1;frecuentes;20.0;28;Av. La Plata;531;2;1;3322
6;B;7834;1;2000-03-23;3;45;57;6;129;2;129;SAN TELMO Malbec 750cc;998.72;3;entregada;45;Avenida 2;586;2;8;3317;3317;Arequito;2183;37;37;Santa Fe;1;Morena;Juarez;28;1;541522513709;1;1;frecuentes;20.0;28;Av. La Plata;531;2;1;3322
6;B;7834;1;2000-03-23;3;45;87;6;122;2;122;ISCAY Malbec - Cabernet Franc 750cc;45468.58;3;entregada;45;Avenida 2;586;2;8;3317;3317;Arequito;2183;37;37;Santa Fe;1;Morena;Juarez;28;1;541522513709;1;1;frecuentes;20.0;28;Av. La Plata;531;2;1;3322
6;B;7834;1;2000-03-23;3;45;91;6;164;2;164;ANAIA Malbec 750cc;1866.86;3;entregada;45;Avenida 2;586;2;8;3317;3317;Arequito;2183;37;37;Santa Fe;1;Morena;Juarez;28;1;541522513709;1;1;frecuentes;20.0;28;Av. La Plata;531;2;1;3322
7;C;5055;17;2023-09-15;1;47;11;7;67;1;67;FINCA LA LINDA Malbec 750cc;2703.21;1;ingresada;47;Diagonal 1;487;9;3;3347;3347;Itati;3414;22;22;Corrientes;17;Josefina;Ramirez;44;1;541525420596;17;1;frecuentes;20.0;44;Av. 6;8388;0;4;3321
